userID,name,lastname,email,phone,country,birthdate
USR:1,David,Johnson,user1@example.com,+1-2768827003,USA,1976-04-29
USR:2,Alice,Johnson,user2@example.com,+1-7192035478,USA,1967-06-14
USR:3,David,Brown,user3@example.com,+1-6533202042,USA,1980-09-06
USR:4,Eve,Smith,user4@example.com,+1-5771365877,USA,1980-08-03
USR:5,Bob,Johnson,user5@example.com,+1-2419938460,USA,1977-08-23
USR:6,Charlie,Brown,user6@example.com,+1-9509480118,USA,1997-05-03
USR:7,David,Smith,user7@example.com,+1-4760922359,USA,2002-09-24
USR:8,Alice,Jones,user8@example.com,+1-3664945335,USA,1992-01-24
USR:9,Alice,Brown,user9@example.com,+1-4546142106,USA,1950-07-29
USR:10,Eve,Johnson,user10@example.com,+1-8561269048,USA,1984-06-17
USR:11,Bob,Williams,user11@example.com,+1-7167102929,USA,1950-10-21
USR:12,Eve,Johnson,user12@example.com,+1-7172316042,USA,1960-02-23
USR:13,Alice,Williams,user13@example.com,+1-9571999230,USA,1990-07-23
USR:14,Charlie,Smith,user14@example.com,+1-9933563322,USA,1979-12-14
USR:15,Eve,Jones,user15@example.com,+1-8843096082,USA,1986-05-15
USR:16,Eve,Johnson,user16@example.com,+1-2301371504,USA,2003-12-11
USR:17,Alice,Brown,user17@example.com,+1-2667381609,USA,1998-03-15
USR:18,Bob,Johnson,user18@example.com,+1-9503674264,USA,1997-01-14
USR:19,Bob,Brown,user19@example.com,+1-3955178428,USA,1953-09-16
USR:20,Bob,Smith,user20@example.com,+1-1808724504,USA,1991-09-10
USR:21,Eve,Smith,user21@example.com,+1-5603713494,USA,1951-08-07
USR:22,Eve,Brown,user22@example.com,+1-8137800534,USA,1965-10-09
USR:23,Alice,Smith,user23@example.com,+1-6989920951,USA,1967-08-16
USR:24,Bob,Williams,user24@example.com,+1-5010069798,USA,1994-02-02
USR:25,Alice,Smith,user25@example.com,+1-5130628765,USA,1972-03-13
USR:26,Charlie,Smith,user26@example.com,+1-3194323195,USA,1954-11-23
USR:27,Eve,Smith,user27@example.com,+1-2114889526,USA,1993-04-25
USR:28,Alice,Smith,user28@example.com,+1-7648813036,USA,1984-02-05
USR:29,Charlie,Jones,user29@example.com,+1-6262277890,USA,1999-03-20
USR:30,David,Williams,user30@example.com,+1-6123318345,USA,1993-10-02
USR:31,David,Johnson,user31@example.com,+1-5954322237,USA,1975-05-09
USR:32,Alice,Johnson,user32@example.com,+1-3490537472,USA,1974-06-13
USR:33,Alice,Brown,user33@example.com,+1-8870008019,USA,2005-04-19
USR:34,Eve,Williams,user34@example.com,+1-4791368140,USA,1983-05-18
USR:35,Charlie,Smith,user35@example.com,+1-2639921782,USA,1981-04-21
USR:36,David,Johnson,user36@example.com,+1-9454241374,USA,1962-03-29
USR:37,Alice,Williams,user37@example.com,+1-2455101536,USA,1990-02-25
USR:38,Bob,Smith,user38@example.com,+1-7589012199,USA,1987-04-13
USR:39,Alice,Williams,user39@example.com,+1-2542276963,USA,1959-10-18
USR:40,Charlie,Williams,user40@example.com,+1-5910836714,USA,1982-04-20
USR:41,Alice,Brown,user41@example.com,+1-3206005880,USA,2003-09-15
USR:42,David,Johnson,user42@example.com,+1-3158948221,USA,1973-05-24
USR:43,Alice,Brown,user43@example.com,+1-5888596768,USA,1979-06-27
USR:44,Bob,Jones,user44@example.com,+1-6282548429,USA,1976-07-23
USR:45,Eve,Williams,user45@example.com,+1-6149488068,USA,1997-04-07
USR:46,Bob,Johnson,user46@example.com,+1-6765217811,USA,1971-01-29
USR:47,Bob,Johnson,user47@example.com,+1-9410263056,USA,2001-01-01
USR:48,Bob,Jones,user48@example.com,+1-6310584936,USA,1959-12-09
USR:49,Alice,Brown,user49@example.com,+1-5184850747,USA,1993-09-12
USR:50,Charlie,Brown,user50@example.com,+1-5192397476,USA,1987-09-22
USR:51,Alice,Johnson,user51@example.com,+1-9020501529,USA,1968-05-06
USR:52,Eve,Brown,user52@example.com,+1-4354882550,USA,1986-08-29
USR:53,David,Smith,user53@example.com,+1-4656763131,USA,1990-01-10
USR:54,Alice,Smith,user54@example.com,+1-4378850562,USA,1996-10-14
USR:55,Bob,Smith,user55@example.com,+1-2976809835,USA,1963-07-15
USR:56,Bob,Johnson,user56@example.com,+1-2775441316,USA,2004-03-23
USR:57,Bob,Smith,user57@example.com,+1-8959243383,USA,1993-11-27
USR:58,David,Smith,user58@example.com,+1-7751242284,USA,2001-06-11
USR:59,Charlie,Smith,user59@example.com,+1-5421690919,USA,1981-04-10
USR:60,Eve,Williams,user60@example.com,+1-4073624639,USA,1990-07-25
USR:61,Bob,Williams,user61@example.com,+1-1791419216,USA,1979-10-14
USR:62,Bob,Williams,user62@example.com,+1-8216213117,USA,1993-01-29
USR:63,Bob,Brown,user63@example.com,+1-9486444699,USA,1960-12-25
USR:64,Alice,Brown,user64@example.com,+1-5119824924,USA,2004-11-23
USR:65,Alice,Williams,user65@example.com,+1-2936705191,USA,1977-09-14
USR:66,David,Smith,user66@example.com,+1-6365498331,USA,1980-09-28
USR:67,Eve,Williams,user67@example.com,+1-9507025590,USA,1967-07-03
USR:68,David,Johnson,user68@example.com,+1-6396106335,USA,1966-08-21
USR:69,David,Johnson,user69@example.com,+1-4036498972,USA,1994-09-20
USR:70,Charlie,Jones,user70@example.com,+1-2899435061,USA,2000-03-24
USR:71,David,Smith,user71@example.com,+1-5275909320,USA,1979-04-19
USR:72,Alice,Williams,user72@example.com,+1-6324226276,USA,1989-04-08
USR:73,Alice,Williams,user73@example.com,+1-6385678980,USA,1964-12-25
